age,gender,occupation,work_mode,screen_time,sleep_hours,stress_level,physical_activity,social_interaction,wellness
56,Male,Self-Employed,Hybrid,8.0,7.0,10,1.6,0.6,Low
41,Male,Unemployed,Hybrid,1.2,8.8,6,0.0,9.9,High
50,Female,Employed,Onsite,4.9,5.5,10,0.5,9.7,Medium
32,Female,Employed,Hybrid,6.6,5.9,4,5.9,0.5,Medium
24,Male,Student,Hybrid,1.1,8.7,2,3.9,0.2,High
19,Other,Unemployed,Hybrid,6.5,8.2,3,9.1,2.6,High
57,Female,Employed,Remote,2.9,6.8,2,7.8,9.4,High
53,Female,Self-Employed,Hybrid,1.8,5.0,9,9.6,8.4,High
35,Other,Student,Remote,9.7,7.0,9,3.0,1.7,Low
42,Other,Student,Onsite,2.8,4.0,3,7.1,7.3,High
50,Other,Student,Remote,4.2,4.6,7,8.5,4.5,High
50,Other,Self-Employed,Remote,3.9,7.6,8,2.7,5.6,High
52,Male,Self-Employed,Remote,8.6,7.6,7,7.7,4.9,High
26,Other,Self-Employed,Remote,1.2,4.5,7,4.8,5.6,Medium
21,Female,Student,Hybrid,6.4,6.7,4,9.4,6.0,High
39,Female,Employed,Onsite,3.7,4.5,4,8.9,5.4,High
45,Male,Self-Employed,Remote,2.0,5.1,9,8.2,8.6,High
56,Female,Unemployed,Hybrid,4.8,5.1,3,2.7,2.4,Medium
49,Male,Unemployed,Onsite,1.6,5.3,7,5.0,3.0,Medium
34,Other,Student,Remote,5.5,4.3,5,3.5,6.3,Medium
19,Male,Unemployed,Remote,9.9,5.2,4,0.8,3.7,Medium
34,Other,Employed,Onsite,6.7,7.2,1,1.5,5.1,High
33,Male,Self-Employed,Hybrid,3.0,7.6,3,3.5,1.0,High
58,Male,Unemployed,Hybrid,9.4,4.7,9,1.1,9.2,Medium
47,Female,Self-Employed,Hybrid,6.9,8.1,9,5.2,2.6,Medium
18,Female,Unemployed,Onsite,9.1,7.2,9,2.8,7.0,Medium
33,Other,Unemployed,Remote,8.0,7.2,1,1.6,9.0,High
37,Female,Self-Employed,Remote,9.5,8.9,2,1.6,5.5,High
52,Male,Student,Onsite,1.2,6.5,4,3.7,7.4,High
20,Male,Unemployed,Onsite,5.9,6.5,6,2.7,2.4,Medium
55,Female,Student,Hybrid,9.0,7.2,2,3.5,6.5,High
50,Male,Unemployed,Onsite,5.5,6.9,1,0.4,9.9,High
47,Male,Employed,Onsite,9.0,7.7,5,9.3,4.3,High
48,Other,Unemployed,Onsite,1.7,5.5,7,2.7,4.9,Medium
35,Male,Employed,Hybrid,8.6,8.7,8,2.1,6.7,High
40,Female,Self-Employed,Hybrid,3.7,5.6,8,7.0,7.0,High
56,Male,Employed,Hybrid,4.8,5.3,8,9.1,5.1,High
53,Male,Unemployed,Onsite,1.6,6.0,3,3.4,3.8,High
19,Other,Self-Employed,Remote,4.0,4.8,6,5.9,0.3,Medium
59,Female,Self-Employed,Remote,5.8,5.6,8,7.7,2.2,Medium
22,Other,Unemployed,Remote,1.5,6.7,3,6.4,7.3,High
30,Female,Unemployed,Remote,3.9,8.0,3,4.4,0.8,High
54,Female,Student,Remote,8.5,7.5,5,0.6,9.2,High
51,Female,Employed,Onsite,6.9,5.4,7,6.6,4.4,Medium
46,Other,Self-Employed,Remote,4.2,7.8,9,3.4,0.9,Medium
47,Female,Employed,Onsite,5.3,4.5,5,4.7,1.7,Medium
47,Male,Self-Employed,Remote,6.5,7.2,2,2.6,0.2,Medium
36,Female,Unemployed,Onsite,5.9,7.4,8,9.4,9.4,High
45,Other,Unemployed,Remote,6.2,4.6,3,8.2,6.3,High
18,Male,Unemployed,Remote,2.9,5.4,2,0.4,6.2,High
40,Male,Employed,Onsite,8.6,4.1,2,2.6,5.0,Medium
28,Male,Unemployed,Onsite,8.2,5.4,10,4.2,5.7,Medium
52,Male,Self-Employed,Remote,3.3,6.9,7,9.3,8.6,High
30,Other,Student,Hybrid,1.9,8.5,4,8.3,3.2,High
36,Male,Unemployed,Onsite,9.1,4.5,7,9.6,6.8,High
36,Female,Self-Employed,Onsite,1.8,7.0,4,6.7,7.5,High
40,Male,Self-Employed,Onsite,9.4,8.9,10,4.4,8.9,High
28,Female,Self-Employed,Onsite,7.9,7.1,6,0.8,7.0,High
59,Male,Employed,Hybrid,7.4,4.4,5,2.3,5.8,Medium
18,Female,Unemployed,Onsite,9.5,8.9,4,3.5,7.1,High
36,Male,Unemployed,Remote,7.3,5.2,3,1.1,4.9,Medium
30,Female,Unemployed,Remote,1.5,4.6,9,7.4,6.8,High
45,Female,Student,Hybrid,5.3,4.4,1,2.2,9.6,High
49,Male,Student,Hybrid,9.0,6.6,5,2.5,7.0,High
35,Other,Student,Onsite,7.3,6.3,5,7.0,3.8,High
40,Male,Self-Employed,Remote,9.6,8.5,8,6.2,2.8,High
45,Female,Unemployed,Remote,3.1,5.3,5,9.7,9.9,High
34,Male,Student,Onsite,8.3,7.4,3,8.2,9.5,High
22,Other,Student,Remote,1.7,8.4,5,0.3,3.8,High
18,Female,Unemployed,Hybrid,2.4,7.0,9,9.7,8.4,High
30,Male,Employed,Onsite,4.7,5.4,7,8.6,8.1,High
48,Male,Employed,Hybrid,6.0,7.8,5,7.6,3.8,High
38,Female,Student,Remote,3.3,5.4,4,2.3,6.7,High
49,Female,Unemployed,Hybrid,2.0,7.4,2,4.8,8.3,High
29,Male,Employed,Onsite,1.8,8.0,1,1.3,0.3,High
32,Male,Student,Remote,7.3,5.1,6,6.2,9.8,High
51,Female,Employed,Hybrid,4.9,8.5,4,5.5,4.5,High
